Clave,Institucion,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Lat_epicentro,Lon_epicentro,Suelo,Vs30,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Dist_hipocentro,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Mw*,date,Filepath,PGA_pred,PGA_log,PGA_predlog
AU11,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.3919,-99.0869,16.21,-98.01,"Terreno blando, material compresible",210.62404,16,21.65558,373.5256078,"['S00E', ' +V', ' N90W']",810.7864971,100,0.106730765,0.408861671,0.011391456,0.010597554,0.000323776,63.11816154,7.709824486,373.8681314,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\AU1120180216233939,30.667505,1.33556981990268,1.48667844849559
AU46,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.3832,-99.1681,16.21,-98.01,Transicion,287.5809,16,19.64343,375.6083927,"['N00E', ' +V', ' N90W']",257.7839167,100,0.238581656,1.118701964,0.056921207,0.026564699,0.000503289,44.9391572,6.526592815,375.9490187,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\AU4620180216233939,17.8185,1.29321732357369,1.25087115403242
D170,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 00:00,7.2,Mc,A,19.3428,-99.2032,16.21,-98.01,"Arenoso, limoso, compacto",415.6842,16,14.371,372.7628434,"['N00E', ' +V', ' N90W']",149.6687309,200,0.045936704,0.822222222,0.002110181,0.005483958,4.51e-05,35.22312174,5.79975172,373.1060672,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\D17020180216233939,14.825086,1.15748698938485,1.17099721082901
D270,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 00:00,7.2,Mc,A,19.3428,-99.2032,16.21,-98.01,"Arenoso, limoso, compacto",415.6842,16,10.32231,372.7628434,"['N00E', ' +V', ' N90W']",136.497794,200,0.045449115,0.691666667,0.002065622,0.00469773,0.000138863,56.55286654,7.334681347,373.1060672,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\D27020180216233939,14.825086,1.01377689767791,1.17099721082901
CS78,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.3656,-99.2262,16.21,-98.01,"Arenoso, limoso, compacto",453.53766,16,9.45015,376.0452901,"['N00E', ' +V', ' N90W']",129.9248731,100,0.075242752,0.513489991,0.005661472,0.01215664,0.000347454,13.85359537,3.719758894,376.3855207,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CS7820180216233939,15.213454,0.975438702017758,1.18222783271724
SS60,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 00:00,7.2,Mc,A,19.393,-99.147,16.21,-98.01,Alto riesgo sismico,232.70119,16,23.58412,375.8365141,"['N00E', ' +V', ' N90W']",444.945189,200,0.149620113,0.711428571,0.022386178,0.014828969,0.000103444,67.91453973,8.067364985,376.1769336,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\SS6020180216233939,26.640627,1.37261967594851,1.42554444043815
BO39,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 17:39,7.2,Mc,A,19.4653,-99.1047,16.21,-98.01,"Terreno blando, material compresible",212.88611,16,25.61797,381.8917847,"['N00E', ' +V', ' N90W']",637.8000932,100,0.359953071,0.473131515,0.129566213,0.035229971,0.000139433,65.92401687,7.839145653,382.2268112,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\BO3920180216233939,30.19315,1.4085447127339,1.47990841835837
CP28,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4385,-99.0839,16.21,-98.01,"Arenoso, limoso, compacto",202.7755,16,13.25263,378.3320297,"['N00E', ' +V', ' N90W']",129.5263594,100,0.096910027,1.355394379,0.009391553,0.014845107,0.000420365,17.55497557,4.145265106,378.6702057,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CP2820180216233939,28.266872,1.12230207307622,1.45127775854417
JC54,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.313,-99.1272,16.21,-98.01,Arcilla,234.44522,16,26.68789,366.7198686,"['N00E', ' +V', ' N90W']",400.6024644,100,0.233480322,0.938086304,0.054513061,0.02416215,0.001038643,55.56413089,7.222167297,367.0687429,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\JC5420180216233939,30.008455,1.42631423892124,1.47724364013784
DX37,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 17:39,7.2,Mc,A,19.3322,-99.1439,16.21,-98.01,"Terreno blando, material compresible",257.81821,16,27.2938,369.3590505,"['N00E', ' +V', ' N90W']",288.7901063,100,0.222416127,0.988575605,0.049468934,0.022822405,0.000139601,58.13115622,7.431281823,369.7054343,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\DX3720180216233939,28.685762,1.43606400485797,1.45766639697796
C266,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 00:00,7.2,Mc,A,19.3728,-99.0983,16.21,-98.01,Arcilla,211.91898,16,31.469,371.925016,"['N00E', ' +V', ' N90W']",396.7338302,200,0.085269897,0.885037551,0.007270955,0.009072734,4.67e-05,54.20789837,7.232978599,372.2690124,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\C26620180216233939,31.442486,1.49788294242443,1.4975168735823
DR16,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.5005,-99.1829,16.21,-98.01,Transicion,229.78658,16,19.12977,388.4362764,"['N00E', ' +V', ' N90W']",210.1711156,100,0.116937411,1.764300482,0.013674358,0.016126108,0.000365114,26.08329833,5.122172771,388.7656631,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\DR1620180216233939,27.474934,1.28170974847312,1.43893665189993
C166,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 00:00,7.2,Mc,A,19.3728,-99.0983,16.21,-98.01,Arcilla,211.91898,16,43.28468,371.925016,"['N00E', ' +V', ' N90W']",1206.367397,200,0.188857891,0.44598498,0.035667303,0.016665692,0.000652494,91.93241706,9.456770323,372.2690124,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\C16620180216233939,31.442486,1.63633421116259,1.4975168735823
S360,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 00:00,7.2,Mc,A,19.393,-99.147,16.21,-98.01,Alto riesgo sismico,232.70119,16,12.39203,375.8365141,"['N00E', ' +V', ' N90W']",171.4837063,200,0.061958267,0.794285714,0.003838827,0.006223977,0.000184791,57.42110644,7.332431469,376.1769336,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\S36020180216233939,26.640627,1.09314245614065,1.42554444043815
AL01,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 17:39,7.2,Mc,A,19.4356,-99.1453,16.21,-98.01,"Terreno blando, material compresible",198.69783,16,28.93406,380.2378977,"['N00E', ' +V', ' N90W']",410.3767523,100,0.167045369,0.624910897,0.027904155,0.017791787,0.000293918,50.71782086,6.849965195,380.5743801,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\AL0120180216233939,30.19315,1.46140937771584,1.47990841835837
SCT2,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:40,7.2,Mw,A,19.394694,-99.148678,16.218,-98.0135,Arcilla,232.70119,16,22.453,375.1080338,"['N90E', ' V', ' N00E']",441.7728845,100,0.289241411,0.588235294,0.083660594,0.028137626,0.000658628,65.04495387,7.77647759,375.4491138,BHE,BHZ,BHN,"-","-","-","-","-","-",7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\SCT21802-161,28.759119,1.35127437635944,1.45877557835154
DM12,CIRES,16/02/2018 23:39,,7.2,Mc,A,19.4312,-99.0963,16.21,-98.01,Arcilla,189.02719,16,42.38532,378.0002309,"['N00E', ' +V', ' N90W']",637.5798565,100,0.185330948,0.552238806,0.03434756,0.019621139,0.000416301,51.25772456,6.949799995,378.3387035,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\DM1220180216233939,31.607471,1.62721546633513,1.499789754547
