Clave,Institucion,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Lat_epicentro,Lon_epicentro,Suelo,Vs30,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Dist_hipocentro,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Mw*,date,Filepath,PGA_pred,PGA_log,PGA_predlog
RABO,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,18.569078,-98.445409,16.218,-98.0135,Roca,253.38008,16.0,14.1427,265.8026999,"['N90E', ' V', ' N00E']",89.36104067,200.0,0.040151714,1.186885246,0.00161216,0.005026634,2.21e-05,29.36452471,5.203820795,266.2838247,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\RABO1802-162,18.603098015566093,1.1505323290622411,1.2695852742732119
OZST,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,18.860758,-97.094119,16.218,-98.0135,Blando,609.1994,16.0,23.5609,311.1358668,"['V', ' N00E', ' N90E']",266.934417,100.0,0.184570538,0.913207547,0.034066284,0.020394956,0.001258798,40.66214508,6.030904207,311.546991,BHZ,BHN,BHE,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\OZST1802-161,26.618753597633177,1.3721918759948737,1.4251877161144997
CH84,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.33,-99.1254,16.21,-98.01,Alto riesgo sismico,211.58063,16.0,37.29969,368.4315496,"['N00E', ' +V', ' N90W']",382.5108879,100.0,0.477647587,0.727777778,0.228147218,0.04565536,0.000542955,72.82567029,8.351652998,368.7788046,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CH8420180216233939,36.694667279281624,1.5717052223757424,1.5646029541850655
CJ04,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 17:38,7.2,Mc,A,19.4098,-99.1566,16.21,-98.01,Alto riesgo sismico,230.02853,16.0,24.44159,377.9549982,"['N00E', ' +V', ' N90W']",435.5487755,100.0,0.144981654,0.589324802,0.02101968,0.014566191,0.00030669,56.0678639,7.185330227,378.2935113,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CJ0420180216233939,26.885880100378603,1.388129454670568,1.4295242575318254
THEZ,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,18.477554,-97.383184,16.218,-98.0135,Roca,464.60016,16.0,26.7701,260.8435436,"['V', ' N00E', ' N90E']",244.431237,100.0,0.191281855,2.200934579,0.036588748,0.029558866,0.000339582,15.24891924,3.840563963,261.3337985,BHZ,BHN,BHE,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\THEZ1802-161,17.801116597105754,1.4276499935017282,1.2504472448230648
PHPU,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,19.044223,-98.168466,16.218,-98.0135,Suelo,336.14273,16.0,23.9722,314.7337153,"['N90E', ' V', ' N00E']",200.3544522,100.0,0.125260351,1.530364372,0.015690156,0.019495685,0.000446394,18.45671897,4.329247623,315.1401459,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\PHPU1802-161,20.70927694505584,1.3797078923572543,1.3161649359647125
CDGU,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:42,7.2,Mw,A,19.699521,-103.447815,16.218,-98.0135,Roca,622.10376,16.0,1.0366,717.64044,"['N00E', ' N90E', ' V']",12.60655396,200.0,0.018145538,0.685950413,0.000329261,0.001738636,9.45e-05,69.0695126,8.132759089,717.8187802,BHN,BHE,BHZ,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CDGU1802-161,2.3071193508254844,0.015611204503512367,0.3630700618224305
PET2,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:40,7.2,Mw,A,17.535396,-101.262608,16.218,-98.0135,Roca,329.83124,16.0,2.4049,389.8525665,"['N90E', ' V', ' N00E']",20.93233972,100.0,0.035318744,0.71969697,0.001247414,0.004685952,8.64e-05,27.7136479,5.101302077,390.1807576,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\PET21802-161,6.344466722346823,0.3810970223517988,0.8023951237868693
TP13,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 17:39,7.2,Mc,A,19.2922,-99.1708,16.21,-98.01,"Terreno firme, materiales compactos",366.55466,16.0,8.26014,366.2250674,"['N00E', ' +V', ' N90W']",96.43607963,100.0,0.052560333,0.546216871,0.002762589,0.00730663,0.000137584,22.32771428,4.664672711,366.5744126,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\TP1320180216233939,11.06716201819018,0.9169874081814243,1.0440362678655872
ACP2,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,16.874294,-99.886505,16.218,-98.0135,Roca,900.0,16.0,18.0132,220.6839602,"['N00E', ' N90E', ' V']",95.57018359,100.0,0.08427761,3.847715736,0.007102716,0.01321392,0.000497764,9.89984847,3.091853606,221.2632149,BHN,BHE,BHZ,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\ACP21802-161,26.210178156098692,1.2555908710034673,1.4184699729476542
