,Lat,Lon,Suelo,Vs30,Distancia_km,Dist_hipocentro,Profundidad,Mw*,PGA_pred,PGA_predlog
542,19.393,-99.147,33.6908274115204,232.70119,279.58681137406967,279.9371091769,14,8.1,49.108246,1.6911545
546,16.657822,-98.498463,33.001421872197476,317.31677,144.791001708034,145.46626473384097,14,8.1,74.67455,1.8731726
559,19.4152,-99.1561,44.276666314707946,229.07602,281.7347367307681,282.0823671922001,14,8.1,80.679115,1.9067612
561,19.422,-99.159,33.6908274115204,236.25122,282.39144057755885,282.73826361401626,14,8.1,49.108246,1.6911545
573,17.380235,-101.056526,33.001421872197476,457.76007,151.05464170526295,151.70202629070374,14,8.1,70.40587,1.8476088
577,19.283,-99.125,32.90196294199333,249.7728,268.3880212990471,268.75291622011804,14,8.1,48.906654,1.689368
579,19.3753,-99.1483,32.90196294199333,255.21605,277.6438614412678,277.9966075260954,14,8.1,48.906654,1.689368
592,19.4198,-99.1353,33.6908274115204,208.14847,282.7958914804792,283.1422191024132,14,8.1,50.542274,1.7036548
593,19.49,-98.97,32.823017845092465,201.96704,295.34285000695183,295.67448156753204,14,8.1,49.808495,1.6973034
599,17.051219,-96.722974,24.810286417881752,372.9541,338.5346623042556,338.82402155316026,14,8.1,36.66891,1.564298
615,19.4653,-99.1047,32.90196294199333,212.88611,288.54824440907163,288.8876760119015,14,8.1,50.15878,1.700347
629,19.202,-99.049,26.327030834953433,498.52213,262.16087447262487,262.5344246079957,14,8.1,46.712112,1.6694295
643,19.3461,-99.0433,32.90196294199333,226.7218,277.6507087495212,278.003446146107,14,8.1,50.229347,1.7009575
651,19.373,-99.098,32.823017845092465,211.91898,278.8336211931878,279.1848640376232,14,8.1,51.663376,1.7131828
652,19.33,-99.183,33.001421872197476,367.31436,271.8201985100054,272.18049217021183,14,8.1,36.1404,1.5579929
664,16.77351,-99.4377,33.001421872197476,315.6575,41.766017630577934,44.049974219263135,14,8.1,594.54364,2.7741838
667,19.381,-99.107,32.823017845092465,198.43669,279.42703038101274,279.7775282390482,14,8.1,52.62558,1.7211969
670,16.340486,-98.053706,54.49238102591826,292.47498,202.32613389391213,202.80992198720767,14,8.1,82.94809,1.9188064
674,19.417,-99.025,32.90196294199333,202.45175,285.7861459608653,286.1288542303363,14,8.1,51.663376,1.7131828
680,19.366,-99.119,32.90196294199333,203.67595,277.46886333456524,277.8218316118725,14,8.1,51.663376,1.7131828
683,19.439,-99.084,26.327030834953433,202.7755,286.32235706888525,286.6644242969159,14,8.1,48.232502,1.6833398
687,19.429,-99.058,32.823017845092465,180.0,286.0324511244092,286.374864637659,14,8.1,53.077698,1.724912
692,19.425,-99.19,26.327030834953433,313.69501,281.9122965500031,282.2597083292209,14,8.1,38.64664,1.5871117
705,19.345,-99.1297,33.6908274115204,215.83322,274.9056728581109,275.26192793332444,14,8.1,50.542274,1.7036548
706,19.371,-99.17,31.57492531477829,281.39624,276.5925673866122,276.94665250462515,14,8.1,39.288734,1.5942681
711,19.4151,-99.1576,38.847097797266784,229.07602,281.68383975695394,282.031532953713,14,8.1,76.249626,1.8822377
713,19.020738,-102.085089,33.001421872197476,531.96918,345.2654700728877,345.54919306034,14,8.1,40.190018,1.6041182
714,16.769,-99.633,33.001421872197476,311.88687,25.516267723854952,29.104637406355742,14,8.1,556.546,2.745501
727,19.4097,-99.145,32.90196294199333,206.64183,281.4414679847312,281.78946023831423,14,8.1,51.663376,1.7131828
728,19.343,-99.203,26.327030834953433,415.6842,272.70514229248454,273.06426831931753,14,8.1,40.096348,1.6031048
739,19.279,-99.0,32.90196294199333,222.16534,271.98663033079,272.34670381463735,14,8.1,54.03674,1.7326891
752,19.389,-99.177,28.63126756125964,296.44852,278.3520175133323,278.7038673103451,14,8.1,39.288734,1.5942681
755,19.343,-99.203,26.327030834953433,415.6842,272.70514229248454,273.06426831931753,14,8.1,40.096348,1.6031048
772,19.415,-99.156,38.847097797266784,229.07602,281.71582875602206,282.06348252067716,14,8.1,76.249626,1.8822377
782,18.989074,-97.377394,33.001421872197476,524.37073,348.7840896553699,349.06495269036265,14,8.1,40.190018,1.6041182
785,19.381,-99.125,32.90196294199333,192.19301,278.9088389005569,279.25998713896837,14,8.1,53.077698,1.724912
791,19.0,-99.205,27.123360080403284,808.35675,235.6875281316554,236.10296676833576,14,8.1,47.736084,1.6788468
792,19.343,-99.203,26.327030834953433,415.6842,272.70514229248454,273.06426831931753,14,8.1,40.096348,1.6031048
799,15.690144,-93.207362,24.810286417881752,444.97037,742.7465143592178,742.8784453682633,14,8.1,17.836218,1.2513027
810,19.043493,-98.191493,29.08658697900481,285.66913,290.74229218793045,291.0791652913206,14,8.1,37.433853,1.5732645
812,19.33,-99.183,33.001421872197476,367.31436,271.8201985100054,272.18049217021183,14,8.1,36.1404,1.5579929
825,19.415,-99.156,38.847097797266784,229.07602,281.71582875602206,282.06348252067716,14,8.1,76.249626,1.8822377
853,16.86225,-99.87147,33.001421872197476,421.18021,15.691090816412368,21.02879765961194,14,8.1,331.758,2.5208213
861,18.9654,-98.259988,25.587519373094974,336.85324,279.22461844784107,279.57537006564513,14,8.1,37.1454,1.569905
871,16.84851,-99.85157,32.823017845092465,561.67432,15.277197503519695,20.721794409788654,14,8.1,333.4692,2.5230558
873,19.358,-99.171,32.823017845092465,296.19205,275.1626008085604,275.51852366715957,14,8.1,40.572918,1.6082362
877,19.271,-99.102,33.6908274115204,225.87505,267.7956369639797,268.1613379608321,14,8.1,52.915638,1.723584
885,19.366,-99.226,26.327030834953433,453.53766,274.62445497846153,274.98107438916054,14,8.1,45.653423,1.6594733
911,17.60654,-101.46526,33.001421872197476,272.40625,202.32242481847467,202.8062217596574,14,8.1,53.64083,1.7294955
923,19.3161,-99.1059,33.6908274115204,239.35167,272.502535989118,272.86192867547595,14,8.1,49.108246,1.6911545
929,19.536,-99.261,33.001421872197476,509.01144,292.32689250199013,292.66194163209894,14,8.1,40.190018,1.6041182
941,19.536,-99.261,33.001421872197476,509.01144,292.32689250199013,292.66194163209894,14,8.1,40.190018,1.6041182
967,19.394694,-99.148678,32.823017845092465,232.70119,279.72353645075157,280.0736632468589,14,8.1,50.229347,1.7009575
987,19.415,-99.156,38.847097797266784,229.07602,281.71582875602206,282.06348252067716,14,8.1,76.249626,1.8822377
