,Lat,Lon,Suelo,Vs30,Distancia_km,Dist_hipocentro,Profundidad,Mw*,PGA_pred,PGA_predlog
64,16.997788,-100.089963,33.001421872197476,196.53853,31.847721596272887,51.13000460467128,40,6.5,150.62216,2.1778889
65,17.652,-99.842,33.001421872197476,886.69141,76.05749194950748,85.93452205981828,40,6.5,108.628105,2.0359423
66,17.095,-99.72,33.001421872197476,393.07895,16.90053139802823,43.423817906026386,40,6.5,184.33586,2.2656097
67,19.536,-99.261,33.001421872197476,509.01144,291.7765240369729,294.50558565008276,40,6.5,4.772606,0.6787556
69,17.007,-99.456,33.001421872197476,451.33347,39.03638788638265,55.89131935476315,40,6.5,76.31087,1.8825864
70,16.91426,-99.81885,33.001421872197476,303.80798,6.278615465692565,40.48976428884261,40,6.5,199.01709,2.2988904
72,17.25267,-99.50587,33.001421872197476,574.36951,45.83975264762566,60.838169949428156,40,6.5,105.36281,2.0226874
73,17.328,-101.04,33.001421872197476,389.08398,143.01007639582184,148.49876077172766,40,6.5,10.137973,1.0059512
74,19.404505,-99.195246,27.123360080403284,436.99353,279.1742231762433,282.0252593050114,40,6.5,6.201213,0.79247665
75,17.344,-100.214,33.001421872197476,535.20764,61.701261880947925,73.53261669287527,40,6.5,123.53889,2.0918038
77,19.373913,-99.096997,32.823017845092465,211.91898,278.76181592116956,281.6170272119,40,6.5,21.653206,1.3355222
106,18.356,-102.293,33.001421872197476,317.28577,316.7379806225107,319.25373665601154,40,6.5,4.5693974,0.65985894
109,18.025,-102.204,32.823017845092465,361.84427,291.45666443942747,294.1886932670204,40,6.5,12.891214,1.1102939
117,17.346,-100.792,33.001421872197476,567.06512,117.4830041959156,124.10582691758482,40,6.5,42.99471,1.633415
121,19.394694,-99.148678,32.823017845092465,232.70119,279.42357783179887,282.27209541207463,40,6.5,18.392115,1.2646316
122,16.888789,-99.835027,44.276666314707946,347.70175,9.523522629565065,41.11809192163272,40,6.5,422.97293,2.6263125
124,16.84851,-99.85157,32.823017845092465,561.67432,14.363787217672137,42.500804501027524,40,6.5,188.88414,2.2761955
125,17.377,-100.577,33.001421872197476,583.00543,97.09348395494516,105.01021201059064,40,6.5,23.289995,1.3671694
128,16.86225,-99.87147,54.49238102591826,421.18021,13.98309835484348,42.37365973811121,40,6.5,302.7585,2.4810963
129,17.036585,-99.878515,33.001421872197476,483.76218,11.104018761138736,41.51263943243938,40,6.5,163.95798,2.2147326
131,16.788528,-99.790152,36.36694105073888,220.0274,20.135373542785484,44.782064129598865,40,6.5,275.47464,2.4400816
132,18.122359,-100.523804,33.001421872197476,436.80292,151.11534338673513,156.31969487844734,40,6.5,18.771729,1.2735043
133,16.758703,-99.233268,33.001421872197476,320.50287,67.73791080464522,78.66654028351617,40,6.5,88.947754,1.949135
134,16.77351,-99.4377,33.001421872197476,315.6575,46.266394186146634,61.16027494205616,40,6.5,41.184895,1.614738
141,19.405,-99.166,28.63126756125964,245.06641,280.03503331387424,282.87739372933754,40,6.5,15.309015,1.1849473
145,16.61081,-98.98399,33.001421872197476,288.94928,99.60219913261918,107.3340489875134,40,6.5,22.108418,1.3445576
146,19.33,-99.183,33.001421872197476,367.31436,271.48885049221906,274.4197440811912,40,6.5,8.995369,0.954019
148,19.33,-99.183,33.001421872197476,367.31436,271.48885049221906,274.4197440811912,40,6.5,8.995369,0.954019
150,18.989074,-97.377394,33.001421872197476,524.37073,351.17128424698825,353.4420332666717,40,6.5,12.977201,1.113181
155,19.33,-99.183,33.001421872197476,367.31436,271.48885049221906,274.4197440811912,40,6.5,8.995369,0.954019
156,19.33,-99.125,33.6908274115204,211.58063,273.20303675831764,276.1157353248211,40,6.5,16.265245,1.2112607
157,19.431,-99.096,32.823017845092465,189.02719,284.8874982730077,287.6819192654501,40,6.5,24.998856,1.3979201
158,19.386,-99.054,32.823017845092465,226.63608,281.43279807312325,284.26118242079303,40,6.5,16.001183,1.2041521
159,19.424,-99.16,29.08658697900481,236.25122,282.24790105355925,285.06819824235004,40,6.5,17.467625,1.2422339
160,19.454,-99.123,32.90196294199333,203.77805,286.5368108240601,289.31530197558374,40,6.5,20.063848,1.3024143
161,19.373,-99.098,32.823017845092465,211.91898,278.6329413702506,281.48945986774976,40,6.5,21.653206,1.3355222
162,19.373,-99.098,32.823017845092465,211.91898,278.6329413702506,281.48945986774976,40,6.5,21.653206,1.3355222
163,19.465,-99.105,32.90196294199333,212.88611,288.25053610864745,291.0126656469142,40,6.5,22.399055,1.3502297
164,19.425,-99.148,32.90196294199333,217.90755,282.69732716669205,285.5131849620814,40,6.5,19.809992,1.2968843
165,19.365,-99.226,29.237753712029193,453.53766,274.09170336551824,276.995057453759,40,6.5,6.382474,0.80498904
166,19.366,-99.119,32.90196294199333,203.67595,277.23472977147685,280.10550760644423,40,6.5,21.140537,1.325116
167,19.41,-99.145,32.90196294199333,206.64183,281.1732734026463,284.0042423555664,40,6.5,22.704205,1.3561063
168,19.42,-99.135,33.6908274115204,208.14847,282.53799238638555,285.35542248523905,40,6.5,15.549488,1.1917161
169,19.373,-99.098,32.823017845092465,211.91898,278.6329413702506,281.48945986774976,40,6.5,21.653206,1.3355222
170,19.417,-99.025,32.90196294199333,202.45175,285.68882818502266,288.4754869130675,40,6.5,23.53195,1.371658
171,19.271,-99.102,33.6908274115204,225.87505,267.64073564191307,270.6133096781169,40,6.5,28.308681,1.4519197
172,19.381,-99.125,32.90196294199333,192.19301,278.65688060555664,281.51315619135715,40,6.5,23.512348,1.371296
173,19.439,-99.14,32.823017845092465,218.52458,284.43142605788466,287.2302841437893,40,6.5,19.442055,1.2887422
174,19.418,-99.079,32.90196294199333,208.67647,284.030173237832,286.8329466946098,40,6.5,19.73034,1.2951345
175,19.436,-99.143,32.90196294199333,198.69783,284.0226856896,286.82553231247266,40,6.5,20.762104,1.3172714
176,19.425,-99.13,33.6908274115204,232.3896,283.2211600875711,286.0318610248683,40,6.5,20.723412,1.3164612
177,19.313,-99.127,32.823017845092465,234.44522,271.3251893263314,274.2578319081691,40,6.5,16.552433,1.2188618
178,19.306,-98.963,32.90196294199333,300.66522,276.21439599253995,279.0956691772978,40,6.5,25.845825,1.4123904
179,19.422,-99.159,33.6908274115204,236.25122,282.06111375554985,284.88326011371964,40,6.5,23.911419,1.3786054
180,19.45,-99.134,32.823017845092465,216.18156,285.78614596086504,288.57186491958095,40,6.5,19.705288,1.2945828
181,19.426,-99.157,33.6908274115204,236.25122,282.5478823324606,285.3652147872231,40,6.5,23.911419,1.3786054
182,19.424,-99.16,29.08658697900481,236.25122,282.24790105355925,285.06819824235004,40,6.5,17.467625,1.2422339
183,19.436,-99.145,32.90196294199333,198.69783,283.96512945526814,286.7685386274917,40,6.5,20.762104,1.3172714
184,19.403,-99.0,32.823017845092465,210.29718,285.06659998772136,287.85928233871414,40,6.5,19.73034,1.2951345
185,19.424,-99.16,29.08658697900481,236.25122,282.24790105355925,285.06819824235004,40,6.5,17.467625,1.2422339
186,19.41,-99.157,33.6908274115204,230.02853,280.8279534547543,283.66236874422674,40,6.5,20.217567,1.3057289
187,19.462,-99.064,32.90196294199333,234.37749,289.19510854687707,291.9483016005402,40,6.5,16.237467,1.2105182
188,19.419,-99.165,32.90196294199333,240.32341,281.56917836671255,284.39620638487,40,6.5,16.446777,1.2160808
189,19.346,-99.043,32.90196294199333,226.7218,277.5593966746369,280.4268508584519,40,6.5,19.702314,1.2945173
190,19.283,-99.125,32.90196294199333,249.7728,268.1849192901347,271.1515276273694,40,6.5,15.5415535,1.1914945
191,19.279,-99.0,32.90196294199333,222.16534,272.01026812002635,274.93560330144334,40,6.5,29.929676,1.476102
195,18.011,-101.216,33.001421872197476,449.25885,195.04125701255916,199.10070802746824,40,6.5,9.56246,0.9805696
196,17.542,-101.271,33.001421872197476,302.72543,175.02113142534154,179.53383092165853,40,6.5,13.742825,1.138076
200,19.419,-99.126,32.823017845092465,180.0,282.6963649527219,285.51223223792454,40,6.5,19.870419,1.298207
207,17.09008,-99.59754,35.61953488041968,482.82285,26.70994196997927,48.098035303322526,40,6.5,226.27461,2.3546357
210,19.332671,-99.04135,28.63126756125964,293.79306,276.2047474800645,279.0861202756708,40,6.5,10.365317,1.0155826
211,16.866,-99.863,32.526313765263566,604.19836,13.144068074294587,42.10423405717874,40,6.5,150.92448,2.1787598
216,19.536,-99.261,33.001421872197476,509.01144,291.7765240369729,294.50558565008276,40,6.5,4.772606,0.6787556
219,19.33024,-99.181076,33.001421872197476,367.31436,271.5692325842627,274.49926791597346,40,6.5,8.995369,0.954019
220,19.33024,-99.181076,33.001421872197476,367.31436,271.5692325842627,274.49926791597346,40,6.5,8.995369,0.954019
222,18.095563,-99.560805,33.001421872197476,429.57571,128.17719351871492,134.2735749815804,40,6.5,40.95282,1.6122838
226,19.501514,-98.806198,33.001421872197476,506.39758,302.7123864553964,305.3437225710089,40,6.5,2.830244,0.4518239
229,19.381,-99.107,32.823017845092465,198.43669,279.2066286694421,282.05733724361033,40,6.5,25.772812,1.4111618
234,19.358,-99.154,28.63126756125964,251.39807,275.33089668671647,278.2213195826505,40,6.5,9.069732,0.95759445
239,19.427,-99.222,29.237753712029193,422.60956,280.8998861014194,283.73358280575525,40,6.5,3.6340132,0.5603865
241,19.41,-99.157,32.90196294199333,230.02853,280.8279534547543,283.66236874422674,40,6.5,17.177498,1.23496
242,19.34,-99.085,26.327030834953433,501.85263,275.53108711212184,278.4194317305954,40,6.5,4.1504154,0.6180916
243,19.481,-99.076,32.823017845092465,180.0,290.8461596101121,293.58386972030803,40,6.5,20.404667,1.3097295
244,19.406,-99.1,32.823017845092465,180.0,282.0933091491448,284.91513660512135,40,6.5,19.870419,1.298207
245,19.39,-99.132,32.823017845092465,185.36667,279.4107463470886,282.2593934207276,40,6.5,17.919844,1.2533342
247,19.3877,-99.1578,28.63126756125964,261.28577,278.4090361224346,281.2678285809152,40,6.5,12.898575,1.1105417
248,19.436,-99.128,32.823017845092465,237.56683,284.4595282007258,287.25811247757565,40,6.5,17.451231,1.241826
249,19.393,-99.147,33.6908274115204,232.70119,279.2905780050986,282.14043836788454,40,6.5,12.610469,1.1007313
250,19.426,-99.118,32.90196294199333,204.38908,283.6847787463288,286.4909312567389,40,6.5,20.752113,1.3170624
251,19.393,-99.147,33.6908274115204,232.70119,279.2905780050986,282.14043836788454,40,6.5,12.610469,1.1007313
252,19.202,-99.049,26.327030834953433,498.52213,262.14248023017586,265.17669569784624,40,6.5,8.261082,0.9170369
253,19.438,-99.182,28.63126756125964,277.33841,283.1453849101135,285.9568306508804,40,6.5,10.602207,1.0253962
254,19.392,-99.087,32.90196294199333,210.62404,281.0055065426963,283.8381487878565,40,6.5,19.506592,1.2901814
256,19.488,-99.114,26.327030834953433,370.24307,290.44748969173196,293.1889224855345,40,6.5,0.397226,-0.40096232
257,19.366,-99.226,26.327030834953433,453.53766,274.1997884739473,277.1020100958444,40,6.5,4.285321,0.6319834
259,19.439,-99.084,26.327030834953433,202.7755,286.1134469681476,288.8960098997475,40,6.5,5.2997084,0.724252
260,19.332,-99.144,32.90196294199333,257.81821,272.8400392450085,275.75657202543294,40,6.5,16.90105,1.2279137
261,19.389,-99.177,28.63126756125964,296.44852,278.00474981765785,280.86765730709993,40,6.5,9.903997,0.9958105
262,19.429,-99.058,32.823017845092465,180.0,285.8728126625865,288.6576952371412,40,6.5,20.315365,1.3078246
