Clave,Institucion,Inst,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Lat_epicentro,Lon_epicentro,Suelo,Vs30,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Dist_hipocentro,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Mw*,date,Filepath
TOTO,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,17/12/2015 19:49,17/12/2015 19:51,6.6,Mw,A,19.330241,-98.256828,15.76,-93.7,Roca,590.98724,90,0.7928,643.6957214,"['N00E', ' N90E', ' V']",15.06185317,200,0.011452491,0.921686747,0.00013116,0.001237747,7.37E-05,46.76153149,6.677538892,649.9570614,BHN,BHE,BHZ,-,-,-,-,-,-,6.6,17/12/2015 19:49,C:\Users\huevo\Downloads\Archivos_Acc\TOTO1512-171
SNJE,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,02/04/2012 17:36,02/04/2012 17:37,6,Mw,A,18.535047,-101.323693,16.27,-98.47,Roca,239.8848,10,0.7948,405.1220707,"['N00W', ' N90W', ' V']",5.339931015,200,0.008126122,0.87704918,6.60E-05,0.000961655,2.46E-05,33.95424784,5.570250874,405.2454715,BHN,BHE,BHZ,-,-,-,-,-,-,6,02/04/2012 17:36,C:\Users\huevo\Downloads\Archivos_Acc\SNJE1204-021
TOTO,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,20/03/2018 16:43,20/03/2018 16:44,5,Mw,A,19.330241,-98.256828,15.948,-98.7318,Roca,590.98724,14.6,0.8,379.7783314,"['N90E', ' V', ' N00E']",7.545478038,200,0.011603904,1.040983607,0.000134651,0.001177436,5.99E-05,59.68942275,7.502004671,380.0588652,BHE,BHZ,BHN,-,-,-,-,-,-,5,20/03/2018 16:43,C:\Users\huevo\Downloads\Archivos_Acc\TOTO1803-201
PUVA,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,16/02/2018 23:39,16/02/2018 23:43,7.2,Mw,A,20.626163,-105.219166,16.218,-98.0135,Roca,625.00989,16,0.8069,939.2748248,"['N00E', ' N90E', ' V']",9.626143439,100,0.020275137,0.491803279,0.000411081,0.002055691,0.000294731,59.12503781,7.516149092,939.4110903,BHN,BHE,BHZ,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\PUVA1802-162
TON2,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,08/09/2021 01:47,08/09/2021 01:47,7.1,Mw,S/C,20.62461,-103.235717,16.78,-99.93,Roca,493.66428,10,0.8086,563.8009411,"['ENZ', ' ENN', ' ENE']",11.04678245,100,0.007804052,0.63687896,6.09E-05,0.000851433,4.26E-05,48.19269583,6.760485495,563.8896179,BHZ, ENN, ENE,-,-,-,-,-,-,7.1,08/09/2021 01:47,C:\Users\huevo\Downloads\Archivos_Acc\TON22109-081
HUAM,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,07/09/2013 00:13,07/09/2013 00:14,6.1,Mw,A,16.031121,-95.670297,14.34,-92.26,Roca,533.6394,69,0.8089,423.2718639,"['N90W', ' V', ' N00W']",10.16373206,200,0.006693422,2.205595546,4.48E-05,0.001138102,7.48E-05,12.24955594,3.456419528,428.8590337,BHE,BHZ,BHN,-,-,-,-,-,-,6.1,07/09/2013 00:13,C:\Users\huevo\Downloads\Archivos_Acc\HUAM1309-071
CUP5,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,21/05/2018 02:15,14:49.0,5,Mw,A,19.33024,-99.181076,17.0585,-98.6643,Roca,367.31436,36.2,0.8092,259.0593618,"['V', ' N00E', ' N90E']",8.680174402,100,0.001217111,1.243987681,1.48E-06,0.000268203,1.38E-05,5.576120439,2.594677608,261.5763616,BHZ,BHN,BHE,-,-,-,-,-,-,5,21/05/2018 02:15,C:\Users\huevo\Downloads\Archivos_Acc\CUP51805-211
SCCB,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,22/09/2019 01:50,22/09/2019 01:50,5,Mw,A,16.70858,-92.625515,15.8793,-94.1975,Roca,474.86072,76.4,0.8259,197.6282081,"['N00E', ' N90E', ' V']",4.561105449,200,0.004148029,4.013605442,1.72E-05,0.000675286,5.15E-05,13.72654863,3.662266686,211.8817327,BHN,BHE,BHZ,-,-,-,-,-,-,5,22/09/2019 01:50,C:\Users\huevo\Downloads\Archivos_Acc\SCCB1909-221
NILT,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,18/04/2014 14:27,18/04/2014 14:29,7.2,Mw,A,16.565153,-94.616947,17.18,-101.19,Roca,324.77359,10,0.8296,734.0807617,"['N90W', ' V', ' N00W']",11.21159507,200,0.014948335,0.689367827,0.000223453,0.001473922,9.06E-05,62.20332542,7.668767996,734.148871,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,18/04/2014 14:27,C:\Users\huevo\Downloads\Archivos_Acc\NILT1404-181
TAMA,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,13/05/2018 17:10,13/05/2018 17:10,5,Mw,A,16.26116,-96.57529,16.98,-95.1228,Roca,466.70978,104.5,0.8336,180.2064006,"['N90E', ' V', ' N00E']",2.115644029,200,0.002767315,11.08928571,7.66E-06,0.000479344,6.45E-05,7.065916839,2.53715269,208.3136981,BHE,BHZ,BHN,-,-,-,-,-,-,5,13/05/2018 17:10,C:\Users\huevo\Downloads\Archivos_Acc\TAMA1805-131
