,Clave,Institucion,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Elev_estacion,Lat_epicentro,Lon_epicentro,Suelo,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Filepath
22,ACAC,INSTITUTO DE INGENIERIA UNAM,1999/09/30 16:31:14.8,16:32:23,6.5,Mb,A,16.84851,-99.85157,5.0,15.95,-97.03,Arena-limo-arcilla,16.0,33.67,329.2680124669949,"['V', 'N90E', 'N00E']",320.91932850088216,100.0,1.1877284517175675,1.809045226130653,1.41069887501941,0.12036116105335645,0.007575412776609576,54.27265871313423,6.926157828166658,C:\Users\huevo\Downloads\Archivos_Acc\ACAC9909-301
23,ACAD,INSTITUTO DE INGENIERIA UNAM,2001/10/08 03:39:19.3,03:38:53,5.6,Mb,A,16.86225,-99.87147,6.0,16.94,-100.14,Limo arenoso,4.0,334.499,31.08557988899007,"['V', 'N90E', 'N00E']",422.06063263267146,250.0,0.2833667115421145,5.96991164530765,0.08029669321019194,0.05050214979076814,0.0001846236774523732,9.453225088345782,3.0248234186711898,C:\Users\huevo\Downloads\Archivos_Acc\ACAD0110-081
24,ACAD,INSTITUTO DE INGENIERIA UNAM,2007/04/13 05:42:22,05:42:04.00,6.3,M,S/C,16.86225,-99.87147,6.0,17.09,-100.44,Limo arenoso,41.0,202.874,68.101461416144,"['V', 'N90E', 'N00E']",339.76190004949484,250.0,0.8138555901058455,3.834653619136378,0.662360921546534,0.11893658266735146,0.0004548834381303024,19.67515134482163,4.311377338333999,C:\Users\huevo\Downloads\Archivos_Acc\ACAD0704-131
25,ACAD,INSTITUTO DE INGENIERIA UNAM,2007/11/06 06:35:42,06:35:32,5.6,M,S/C,16.86225,-99.87147,6.0,17.08,-100.14,Limo arenoso,9.0,293.264,38.442487518486004,"['V', 'N90E', 'N00E']",277.15255851883285,250.0,1.0479363817129392,5.602125794433487,1.0981706601176071,0.15803408063306565,0.0011925198034626035,17.00014342171851,3.8700517684413045,C:\Users\huevo\Downloads\Archivos_Acc\ACAD0711-061
26,ACAD,INSTITUTO DE INGENIERIA UNAM,2011/12/11 01:47:25,01:47:08,6.5,M,B,16.86225,-99.87147,23.0,17.84,-99.98,Limo arenoso,58.0,66.494,109.38856009662533,"['V', 'N90E', 'N00E']",277.57733729345114,250.0,0.38223834990918565,4.863636363636363,0.14610615614129704,0.0544613091669568,0.0004181915241842544,18.71738917490129,4.063465675348296,C:\Users\huevo\Downloads\Archivos_Acc\ACAD1112-111
27,ACAD,INSTITUTO DE INGENIERIA UNAM,2013/08/21 12:38:30,12:38:05,6.0,M,B,16.86225,-99.87147,23.0,16.79,-99.56,Limo arenoso,20.0,587.455,35.55345795359501,"['V', 'N90E', 'N00E']",703.412244885034,250.0,2.9884051352658516,3.1302986826659707,8.930565252483312,0.3295138728419223,0.0009618597241037095,38.6025637948484,5.7623650502803265,C:\Users\huevo\Downloads\Archivos_Acc\ACAD1308-211
28,ACAD,INSTITUTO DE INGENIERIA UNAM,2014/04/18 14:27:23,14:26:57.000,7.2,M,B,16.86225,-99.87147,23.0,17.18,-101.19,Limo arenoso,10.0,99.6036,150.81108468640832,"['N90W', 'V', 'N00W']",498.48786529529986,100.0,0.41930917897665626,4.338022645948728,0.17582018757407755,0.07031301257608451,0.004591435355615811,12.36390252031373,3.40280479200236,C:\Users\huevo\Downloads\Archivos_Acc\ACAD1404-181
29,ACAD,INSTITUTO DE INGENIERIA UNAM,2014/05/08 17:00:16,16:59:40.000,6.4,M,B,16.86225,-99.87147,23.0,17.11,-100.87,Limo arenoso,17.0,98.2391,114.39803069545515,"['N90W', 'V', 'N00W']",268.277913862213,100.0,0.5851107010486513,3.726418238784081,0.34235453248164416,0.08514131259586662,0.0071458314440801425,14.243769219556672,3.6221364859575784,C:\Users\huevo\Downloads\Archivos_Acc\ACAD1405-081
30,ACAD,INSTITUTO DE INGENIERIA UNAM,2014/05/10 07:36:01,07:35:36.000,6.1,M,B,16.86225,-99.87147,23.0,17.06,-100.95,Limo arenoso,12.0,27.5461,121.92623895485495,"['N90W', 'V', 'N00W']",96.02027181000865,100.0,0.23350642226103746,4.039996774453672,0.05452524923714993,0.031663548778339476,0.0020393433175909135,15.517080949438586,3.6117980437568824,C:\Users\huevo\Downloads\Archivos_Acc\ACAD1405-101
31,ACAD,INSTITUTO DE INGENIERIA UNAM,2016/05/08 07:33:59,07:34:13.000,6.0,M,A,16.86225,-99.87147,23.0,16.25,-97.98,Limo arenoso,35.0,6.5111,221.06571549736424,"['N90E', 'V', 'N00E']",28.911261434641624,100.0,0.061152235551678744,4.565217391304348,0.0037395959129680016,0.009244632923278958,0.0005570577496421645,15.004983644753707,3.6682003064606263,C:\Users\huevo\Downloads\Archivos_Acc\ACAD1605-081
32,ACAD,INSTITUTO DE INGENIERIA UNAM,2017/12/25 20:23:11,20:22:27,5.0,M,A,16.86225,-99.87147,23.0,16.9703,-99.8422,Limo arenoso,22.2,206.9875,12.44764267292599,"['N90E', 'V', 'N00E']",140.00392718961723,100.0,0.7679301655641122,3.8617886178861793,0.5897167391833248,0.11469076958307978,0.024927840802524776,12.956578676328752,3.4056264516992076,C:\Users\huevo\Downloads\Archivos_Acc\ACAD1712-252
33,ACAD,INSTITUTO DE INGENIERIA UNAM,2018/02/16 23:39:39,23:39:50,7.2,M,B,16.86225,-99.87147,23.0,16.218,-98.0135,Limo arenoso,16.0,27.8657,218.66449213722564,"['N90E', 'V', 'N00E']",173.3706236768837,100.0,0.3235198468794815,4.214814814814815,0.10466509132492315,0.0461276094900296,0.0015175664329485142,20.62798390070459,4.284898159404616,C:\Users\huevo\Downloads\Archivos_Acc\ACAD1802-161
34,ACAD,INSTITUTO DE INGENIERIA UNAM,2018/05/21 02:15:20,02:14:53.000,5.0,M,A,16.86225,-99.87147,23.0,17.0585,-98.6643,Limo arenoso,36.2,23.8306,135.99341614856317,"['N90E', 'V', 'N00E']",67.31542712318159,100.0,0.19249576508324528,4.107438016528926,0.03705461957498395,0.023289269207774178,0.001817543729330073,26.124798656510183,4.589356180380027,C:\Users\huevo\Downloads\Archivos_Acc\ACAD1805-211
35,ACAD,INSTITUTO DE INGENIERIA UNAM,2020/02/21 01:48:15,01:47:59,5.0,M,B,16.86225,-99.87147,23.0,17.2247,-100.464,Limo arenoso,42.9,27.3994,77.23540675730845,"['N90E', 'V', 'N00E']",42.784371751983656,100.0,0.1533272497359574,4.198275862068965,0.02350924551159265,0.022009531427018773,0.002896767732477008,18.05709532995825,4.019864854647896,C:\Users\huevo\Downloads\Archivos_Acc\ACAD2002-211
36,ACAD,INSTITUTO DE INGENIERIA UNAM,1989/04/25 14:29:00.4,14:29:07.00,6.3,Mb,A,16.86225,-99.87147,6.0,16.603,-99.4,Limo arenoso,19.0,335.0,59.828091099326635,"['V', 'N90E', 'N00E']",374.62734156099253,100.0,3.5428574779456836,3.517847904811174,12.551839109035651,0.4377619859313457,0.016964168749255843,29.881410818427092,5.060026598962012,C:\Users\huevo\Downloads\Archivos_Acc\ACAD8904-251
37,ACAD,INSTITUTO DE INGENIERIA UNAM,1995/09/14 14:04:30.5,14:04:41.38,6.4,Mb,S/C,16.86225,-99.87147,6.0,16.31,-98.88,Limo arenoso,22.0,69.739,126.19486743149719,"['V', 'N90E', 'N00E']",349.866833419643,250.0,0.9433614594166394,4.2243343894169305,0.8899308431126918,0.11550552155482241,0.000491799776456757,32.16815517324769,5.334158327881803,C:\Users\huevo\Downloads\Archivos_Acc\ACAD9509-141
38,ACAD,INSTITUTO DE INGENIERIA UNAM,1995/09/14 14:04:30.5,14:09:29.38,6.4,Mb,A,16.86225,-99.87147,6.0,16.31,-98.88,Limo arenoso,22.0,10.844,126.19486743149719,"['V', 'N90E', 'N00E']",29.503194926915167,250.0,0.23183467765054072,4.292264169349332,0.05374731776133013,0.026195096643942862,0.00026408630285896454,38.29664727799519,5.808084057660082,C:\Users\huevo\Downloads\Archivos_Acc\ACAD9509-142
39,ACAD,INSTITUTO DE INGENIERIA UNAM,1997/01/11 20:28:27.2,20:29:31,6.5,Mb,A,16.86225,-99.87147,6.0,17.91,-103.04,Limo arenoso,16.0,20.008,371.08734692828546,"['V', 'N90E', 'N00E']",74.91215260167256,250.0,0.20886342288260973,4.980386124144297,0.04362392941823986,0.035399452613445175,0.0002444327555152924,13.65821767551014,3.6328845159838066,C:\Users\huevo\Downloads\Archivos_Acc\ACAD9701-111
40,ACAD,INSTITUTO DE INGENIERIA UNAM,1999/06/15 20:42:07.1,20:42:20.968,6.4,Mb,A,16.86225,-99.87147,6.0,18.18,-97.51,Limo arenoso,69.0,24.496,300.6996508599858,"['V', 'N90E', 'N00E']",236.52436707247216,250.0,0.255867101214854,4.341952913932844,0.06546797348409235,0.03437685875430966,0.00018610458441922165,18.548774901339524,3.945821433513897,C:\Users\huevo\Downloads\Archivos_Acc\ACAD9906-151
